standard,edition_as_cited,year,clause,claim_id,node,lifecycle_phase,out_of_scope
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 4, Cl.6.4.3",CLM-26262-TSC-01,(out of scope),Design / Training,True
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 4, Cl.7",CLM-26262-INTG-01,G5,Integration / Deployment,False
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 4, Cl.8",CLM-26262-SVAL-01,G5,Verification & Validation,False
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 5, Cl.9",CLM-26262-HWMET-01,G5,Verification & Validation,False
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 6, Cl.9",CLM-26262-MCDC-01,G5,Verification & Validation,False
ISO26262,ISO 26262:2018 — Road vehicles — Functional safety,2018,"Part 8, Cl.8",CLM-26262-CHG-01,G9,Modification / Re-assurance,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Annex B,CLM-8800-G1,G1,Verification & Validation,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Annex B,CLM-8800-S1,S1,Verification & Validation,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Cl.14,CLM-8800-G6,G6,Operation / Monitoring,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Cl.14.8.3,CLM-8800-MOD-01,G9,Modification / Re-assurance,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Cl.5,CLM-8800-G2,G2,Concept / Requirements,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Cl.7,CLM-8800-G4,G4,Design / Training,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Cl.8.4,CLM-8800-G3,G3,Design / Training,False
ISOPAS8800,ISO/PAS 8800:2024 — Road vehicles — Safety and artificial intelligence,2024,Cl.9,CLM-8800-G5,G5,Verification & Validation,False
TR5469,ISO/IEC TR 5469:2024 — AI — Functional safety and AI systems,2024,Cl.9.3.2,CLM-TR5469-DATA-01,G3,Design / Training,False
TR5469,ISO/IEC TR 5469:2024 — AI — Functional safety and AI systems,2024,Cl.9.3.3,CLM-TR5469-DATA-02,G3,Design / Training,False
TR5469,ISO/IEC TR 5469:2024 — AI — Functional safety and AI systems,2024,Table A.8,CLM-TR5469-MOD-01,G9,Modification / Re-assurance,False
